,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E2P69_RS01195,398.2634681,0.123106118,0.299781944,0.410652211,0.681327573,0.844587277
E2P69_RS01200,67.12923124,-0.229660057,0.666114513,-0.344775639,0.730263049,0.875669408
E2P69_RS01205,198.6524412,-1.217397424,0.425098125,-2.863803328,0.004185878,0.026718003
E2P69_RS01210,477.5856127,-0.281532727,0.299327165,-0.940551879,0.346934552,0.587620397
E2P69_RS01215,3292.305309,0.304553771,0.254444689,1.196935067,0.231331865,0.461823031
E2P69_RS01225,115.187288,-0.661365309,0.468047243,-1.413031099,0.15764658,0.365309323
E2P69_RS01230,868.1435087,-0.468617962,0.239619532,-1.955675145,0.050503435,0.174574403
E2P69_RS01235,174.451592,-1.199640885,0.456113365,-2.630137544,0.008535033,0.046836325
E2P69_RS01240,328.0051701,-0.349425794,0.300823529,-1.16156404,0.245412596,0.479282772
E2P69_RS01245,188.1282208,0.336602199,0.39253568,0.857507268,0.3911646,0.628969824
E2P69_RS01250,167.5296263,-0.359952461,0.456759023,-0.788057691,0.430662961,0.661388672
E2P69_RS01255,451.5273119,0.330555039,0.276063506,1.19738767,0.231155487,0.461823031
E2P69_RS01260,200.0803349,-1.061964691,0.481189751,-2.206956174,0.027317121,0.112530341
E2P69_RS01265,3627.073819,0.383589026,0.184850709,2.075128781,0.037974601,0.142465639
E2P69_RS01270,979.8183375,-0.147133083,0.250687284,-0.586918812,0.557258235,0.762415829
E2P69_RS01275,699.6855031,1.938779293,0.366459831,5.290564283,1.22E-07,3.77E-06
E2P69_RS01280,190.9497167,-0.592645853,0.339990102,-1.743126783,0.081311471,0.237332488
E2P69_RS01285,31.86667645,-0.198331755,0.856106019,-0.231667282,0.816796445,NA
E2P69_RS01295,128.1442474,0.134838706,0.490099834,0.275124977,0.783220223,0.905871584
E2P69_RS01300,170.2282657,0.026898197,0.481937808,0.05581259,0.955491105,0.980831564
E2P69_RS01305,1650.207754,0.17267442,0.26236737,0.658139846,0.510448274,0.726002934
E2P69_RS01310,3074.535833,1.101359677,0.24096837,4.570557034,4.86E-06,9.26E-05
E2P69_RS01315,590.3955035,-0.450725562,0.381488301,-1.181492488,0.237407136,0.469615575
E2P69_RS01320,819.6037315,1.243572475,0.271306247,4.583648506,4.57E-06,8.84E-05
E2P69_RS01325,722.1986266,2.108691198,0.303598741,6.945651981,3.77E-12,2.89E-10
E2P69_RS01330,256.0849636,1.242405431,0.406270169,3.058076928,0.002227624,0.016349831
E2P69_RS01335,286.659992,-0.308450964,0.35381166,-0.87179423,0.383320643,0.622054698
E2P69_RS01340,191.7679588,-0.982831531,0.458695768,-2.142665357,0.032139979,0.126796356
E2P69_RS01345,396.0297793,-0.582901363,0.364110198,-1.600892711,0.109400684,0.289353311
E2P69_RS01350,280.5155382,-0.716977403,0.330557739,-2.168992943,0.03008322,0.120572449
E2P69_RS01355,64.17395554,-0.42707512,0.622788721,-0.685746394,0.492873045,NA
E2P69_RS01360,513.5801193,0.197754286,0.260600645,0.758840353,0.447948063,0.675316522
E2P69_RS01365,231.4267999,-0.390292221,0.367349743,-1.062454049,0.288029608,0.528229208
E2P69_RS01370,139.1367537,-0.940289725,0.465733979,-2.018941642,0.043493285,0.156834027
E2P69_RS01375,377.5343712,-0.223186655,0.333120474,-0.669987804,0.502865565,0.721627448
E2P69_RS01380,38.49057995,0.169624312,0.845161839,0.200700392,0.840932853,NA
E2P69_RS01385,1388.84171,0.591262595,0.215622395,2.742120527,0.006104394,0.036144167
E2P69_RS01390,390.0464191,0.878561108,0.329859057,2.663443947,0.00773453,0.043251981
E2P69_RS01395,607.8743885,0.274584176,0.272554903,1.007445374,0.313720796,0.554282028
E2P69_RS01400,440.7457022,0.911308904,0.326139051,2.794234238,0.005202278,0.03176365
E2P69_RS01405,85.31760418,-0.483573525,0.642321363,-0.752852937,0.451538292,0.678655888
E2P69_RS01410,99.47716656,-1.621858138,0.493744277,-3.284814049,0.001020497,0.008965613
E2P69_RS23280,333.4871952,0.047957413,0.335205735,0.143068593,0.886236009,0.948423286
